word,translate
beige,бежевый
bell capitan,"старший коридорный"
belt,"пояс, ремень"
blouse,блузка
bracelet,браслет
breaf case,дипломат
bright,яркий
brown,коричневый
cashier,кассир
clear,ясный
clever,"умный, способный, смышленый"
cloudy,облачно
coat,пальто
color,цвет
colorfull,цветной
cook,повар
cool,прохладный
country,страна
dark,темный
dictionary,словарь
different,различный
dress,платье
earring,серьга
eraser,"стирательная резинка"
flight attendent,"стюарт, стюардесса"
first name,имя
fouggy,туманный
freezing,морозный
glove,перчатка
grey,серый
to guess,"полагать, догадываться, считать"
hardworking,усердный
hot,жаркий
hotel manager,менеджер гостиницы
house keeper,"экономка, домохозяйка"
humid,влажный
jacket,"жакет, куртка"
last name,фамилия
light,светлый
to make a mistake,допустить ошибку
mechanic,механик
mitten,рукавица
navy blue,темно синий
necklace,"бусы, ожерелье"
olive,оливковый
pants,штаны
paper,бумага
patient,терпеливый
pilot,пилот
pink,розовый
police oficer,полицейский
polite,вежливый
purple,фиолетовый
raincoat,плащ
right,"верный, правильный"
secretary,секретарь
shirt,рубашка
shooe,"ботинок, туфля"
skirt,юбка
sock,носок
to spell,произнести по буквам
stamp,"марка, печать"
stocking,чулок
suit,костюм
sweater,свитер
there,там
ticket,билет
tie,галстук
waiter,официант
waitress,официантка
well known,известный
windy,ветреный